index,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,time_margin
19,,,,,,,,,3.441379310344827580e+00,1.372689655172413836e+01,1.230000000000000071e+01,-2.768965517241379182e+00,-3.300000000000000155e-01,-4.486206896551723666e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
20,,,,,,,,,3.510344827586207028e+00,1.371172413793103573e+01,1.230000000000000071e+01,-2.717241379310344929e+00,-3.300000000000000155e-01,-4.496551724137931139e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
21,,,,,,,,,3.579310344827586476e+00,1.369655172413793132e+01,1.230000000000000071e+01,-2.665517241379310676e+00,-3.300000000000000155e-01,-4.506896551724137723e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
22,,,,,,,,,3.648275862068965480e+00,1.368137931034482868e+01,1.230000000000000071e+01,-2.613793103448275978e+00,-3.300000000000000155e-01,-4.517241379310344307e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
23,,,,,,,,,3.717241379310344929e+00,1.366620689655172427e+01,1.230000000000000071e+01,-2.562068965517241725e+00,-3.300000000000000155e-01,-4.527586206896551779e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
24,,,,,,,,,3.786206896551724377e+00,1.365103448275862164e+01,1.230000000000000071e+01,-2.510344827586207028e+00,-3.300000000000000155e-01,-4.537931034482758363e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
25,,,,,,,,,3.855172413793103381e+00,1.363586206896551722e+01,1.230000000000000071e+01,-2.458620689655172775e+00,-3.300000000000000155e-01,-4.548275862068964948e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
26,,,,,,,,,3.924137931034482829e+00,1.362068965517241459e+01,1.230000000000000071e+01,-2.406896551724138078e+00,-3.300000000000000155e-01,-4.558620689655172420e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
27,,,,,,,,,3.993103448275862277e+00,1.360551724137931018e+01,1.230000000000000071e+01,-2.355172413793103381e+00,-3.300000000000000155e-01,-4.568965517241379004e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
28,,,,,,,,,4.062068965517241281e+00,1.359034482758620754e+01,1.230000000000000071e+01,-2.303448275862069128e+00,-3.300000000000000155e-01,-4.579310344827585588e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
29,,,,,,,,,4.131034482758621174e+00,1.357517241379310313e+01,1.230000000000000071e+01,-2.251724137931034875e+00,-3.300000000000000155e-01,-4.589655172413793061e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
30,,,,,,,,,4.200000000000000178e+00,1.356000000000000050e+01,1.230000000000000071e+01,-2.200000000000000178e+00,-3.300000000000000155e-01,-4.599999999999999645e+00,3.417000000000000171e+01,-4.600000000000000000e+01,1
31,,,,,,,,,4.200000000000000178e+00,1.356000000000000050e+01,1.230000000000000071e+01,-2.200000000000000178e+00,-3.300000000000000155e-01,-4.599999999999999645e+00,3.417000000000000171e+01,-5.500000000000000000e+01,1
32,,,,,,,,,4.200000000000000178e+00,1.356000000000000050e+01,1.230000000000000071e+01,-2.200000000000000178e+00,-3.300000000000000155e-01,-4.599999999999999645e+00,3.417000000000000171e+01,-4.600000000000000000e+01,2
33,,,,,,,,,4.131034482758621174e+00,1.357517241379310313e+01,1.230000000000000071e+01,-2.251724137931034875e+00,-3.300000000000000155e-01,-4.589655172413793061e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
34,,,,,,,,,4.062068965517241281e+00,1.359034482758620754e+01,1.230000000000000071e+01,-2.303448275862069128e+00,-3.300000000000000155e-01,-4.579310344827585588e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
35,,,,,,,,,3.993103448275862277e+00,1.360551724137931018e+01,1.230000000000000071e+01,-2.355172413793103825e+00,-3.300000000000000155e-01,-4.568965517241379004e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
36,,,,,,,,,3.924137931034482829e+00,1.362068965517241459e+01,1.230000000000000071e+01,-2.406896551724138078e+00,-3.300000000000000155e-01,-4.558620689655172420e+00,3.417000000000000171e+01,-4.600000000000000000e+01,0
