pose_name,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,trigger,exec_time,wait_time
"approach",,,,,,,,,8.35,15.667,8.482,-7.592,-5.471,-9.3,34.17,-46,-1,0.7,0.5
"head align",,,,,,,,,11.536,16.677,6.182,-5.,-5.471,-9.,34.17,-46,-1,0.7,0.5
"trigger on",,,,,,,,,11.536,16.677,6.182,-5.,-5.471,-9.,34.17,-46,50,0,0.7
"trigger off",,,,,,,,,11.536,16.677,6.182,-5.,-5.471,-9.,34.17,-46,-1,0,0.5
