pose_name,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,trigger,exec_time,wait_time
"approach",,,,,,,,,8.35,14.,10.,-7.,0.,-9.3,34.17,-46,-1,0.7,0.5
"head align",,,,,,,,,10.25,14.,10.,-5.6,0.,-9.9,34.17,-46,-1,0.7,0.5
